RLP,RLP_Name,EUNIS,EUNIS_angepasst,EUNIS_Name,EUNIS_Name_deutsch,LRT1,LRT2,LRT3,Qualifier_EUNIS_RLP,EAGLE_Biotic_Vegetation,EAGLE_vegetationType,EAGLE_water,EAGLE_MowingTypeValue,EAGLE_GrazingTypeValue,EAGLE_leafFormValue,EAGLE_Trees,EAGLE_wetness,NATFLO_wetness,NATFLO_species_richness,NATFLO_immature_soil,NATFLO_hydromorphic,NATFLO_acidity,NATFLO_saline,NATFLO_heavy_metal,NATFLO_depression,NATFLO_slope,EUNIS_substrate_type,NATFLO_root_penetration,NATFLO_geological_characteristics,EUNIS_geomorphology,NATFLO_slope_position,NATFLO_rows,NATFLO_bog,NATFLO_bosk,NATFLO_usage_intensity,NATFLO_usage,NATFLO_minHeight,NATFLO_maxHeight,NATFLO_geometry,EUNIS_dominant_plant_species,EAGLE_water_regime,EUNIS_water_regime,NATFLO_exposition,NATFLO_trophic_level,adjacency,NATFLO_temperature,NATFLO_minTreeCover,NATFLO_minShrubCover,NATFLO_minVegCover,NATFLO_minOpenSoilCov,EUNIS_altitude_zone,NATFLO_homogeneity,NATFLO_biomass,NATFLO_line_structures,NATFLO_cultivated
CF2b,Rohrkolbenroehricht,C3.23,C3.23,Typha beds,Rohrkolbenroehrichte,,,,congruent,1,reed,,,,,0,,aquatic,species_poor,0,1,,0,0,1,flat,waterlogged peat,,,blanket bog,,0,0,0,,,1,,,Typha,,waterlogged,,,standing_water,,Tree canopy cover below 10%,Shrub canopy cover below 10%,Vegetation cover exceeds 30%,Bare ground negligible or nil,,1,,0,0
,,C3.5,C3.5,Periodically inundated shores with pioneer and ephemeral vegetation,Periodisch überschemmte Ufer mit Pionier- und ephemerer Vegetation,3270,,,includedIn,1,forbs,water_courses,,,,0,,aquatic,,1,1,,0,0,0,flat,water,,,river,valley,0,0,0,,,,,,,ephemeral,fringing watercourses/riparian,,,flowing_water,,Tree canopy cover below 10%,Shrub canopy cover below 10%,Vegetation cover below 30%,,planar,0,,0,0
CA0,"Hochmoor, Uebergangsmoor",D1,D1,Raised and blanket Bogs,Hoch- und Deckenmoore,7110,7120,7150,includedIn,1,lichens_mosses/dwarf_shrub/graminaceous,,,,,0,saturated ground,very_wet,,0,1,acid,0,0,1,flat,waterlogged peat,,peat,raised bog,,0,1,0,,,,0.5,,Sphagnum moss,,waterlogged,,dystrophic,,,,,Vegetation cover exceeds 30%,Bare ground negligible or nil,,0,,0,0
CA1,"Hochmoor-, Torfmoos- bzw. Binsenaspekt",D1.11,D1.11,"Active, relatively undamaged raised bogs",Aktive relativ unbeeinträchigte Hochmoore,7110,7150,,includedIn,1,lichens_mosses/graminaceous,,,,,0,saturated ground,very_wet,,0,1,acid,0,0,1,flat,waterlogged peat,,peat,raised bog,,0,1,0,,,,0.5,,Sphagnum moss,,waterlogged,,dystrophic,,,,,Vegetation cover exceeds 30%,Bare ground negligible or nil,,0,,0,0
CA2,Hochmoor-Feuchtheideaspekt,D1.11,D1.11,"Active, relatively undamaged raised bogs",Aktive relativ unbeeinträchigte Hochmoore,7110,,,includedIn,1,lichens_mosses/dwarf_shrub,,,,,0,saturated ground,very_wet,,0,1,acid,0,0,1,flat,waterlogged peat,,peat,raised bog,,0,1,0,,,,0.5,,Sphagnum moss,,waterlogged,,dystrophic,,,,,Vegetation cover exceeds 30%,Bare ground negligible or nil,,0,,0,0
CA5,Moorregenerationsflaeche ausserhalb von Torfstichen,D1.11,D1.11,"Active, relatively undamaged raised bogs",Aktive relativ unbeeinträchigte Hochmoore,7110,7150,,includedIn,1,lichens_mosses/dwarf_shrub/graminaceous,,,,,0,saturated ground,very_wet,,0,1,acid,0,0,1,flat,waterlogged peat,,peat,raised bog,,0,1,0,,,,0.5,,Sphagnum moss,,waterlogged,,dystrophic,,,,,Vegetation cover exceeds 30%,Bare ground negligible or nil,,0,,0,0
CB1,Torfstich mit Moorregenerationsflaeche,D1.11,D1.11,"Active, relatively undamaged raised bogs",Aktive relativ unbeeinträchigte Hochmoore,7150,,,includedIn,1,lichens_mosses/dwarf_shrub/graminaceous,,,,,0,saturated ground,very_wet,,0,1,acid,0,0,1,flat,waterlogged peat,,peat,raised bog,,0,1,0,,,,0.5,,Sphagnum moss,,waterlogged,,dystrophic,,,,,Vegetation cover exceeds 30%,Bare ground negligible or nil,,0,,0,1
CA4,"Hoch-, Zwischenmoordegenerationsstadium",D1.12,D1.12,"Damaged, inactive bogs","Degenerierte, inaktive Moore",7120,,,includedIn,1,lichens_mosses/dwarf_shrub/graminaceous,,,,,0,saturated ground,very_wet,,0,1,acid,0,0,1,flat,dry peat,,peat,raised bog,,0,1,0,,,,0.5,,Sphagnum moss,,waterlogged,,dystrophic,,,,,Vegetation cover exceeds 30%,Bare ground negligible or nil,,0,,0,0
CB0,Torfstich,D1.12,D1.12,"Damaged, inactive bogs","Degenerierte, inaktive Moore",7150,,,includedIn,1,lichens_mosses/dwarf_shrub/graminaceous,,,,,0,saturated ground,very_wet,,0,1,acid,0,0,1,flat,waterlogged peat,,peat,raised bog,,0,1,0,,,,0.5,,Sphagnum moss,,waterlogged,,dystrophic,,,,,Vegetation cover exceeds 30%,Bare ground negligible or nil,,0,,0,1
CC0,"Kleinseggenried, Binsensumpf",D2,D2,"Valley mires, poor fens and transition mires","Talmoore, arme Niedermoore und Uebergangsmoore",,,,includedIn,1,graminaceous,,,,,0,saturated ground,very_wet,,0,1,acid,0,0,1,,waterlogged peat,,peat,blanket bog,,0,1,0,,,,0.5,,small sedge/rush,,waterlogged,,,,,Tree canopy cover below 10%,Shrub canopy cover below 10%,Vegetation cover exceeds 30%,Bare ground negligible or nil,,0,,0,0
